State,State Results Website,Status,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted (Estimate),Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible,State Abv
Mississippi,http://www.sos.ms.gov/Elections-Voting/Pages/2016-General-Election.aspx,Official,,55.20%,53.30%,,"1,209,357","2,191,241","2,268,089",1.40%,"19,150","29,067","8,645","44,363",,MS
Missouri,http://enr.sos.mo.gov/enrnet/default.aspx?eid=750003949,Official,62.20%,62.20%,59.60%,"2,811,549","2,808,605","4,517,925","4,710,784",2.50%,"31,956","43,799","17,792","74,713",,MO
Montana,http://mtelectionresults.gov/,Official,64.30%,61.80%,60.80%,"516,901","497,147","804,250","817,702",1.20%,"3,795",0,0,"3,795",,MT
Nebraska,http://www.sos.ne.gov/elec/2016/pdf/2016-canvass-book.pdf,Official,64.00%,62.80%,58.80%,"860,573","844,227","1,343,821","1,436,437",5.50%,"5,079","13,489","1,088","13,856",,NE
Nevada,http://silverstateelection.com/,Official,57.40%,57.40%,49.40%,"1,125,429","1,125,385","1,961,587","2,276,281",12.60%,"13,742","13,724","5,261","26,826",,NV
New Hampshire,http://sos.nh.gov/2016GenResults.aspx,Official,72.50%,71.40%,69.10%,"755,850","744,296","1,042,795","1,076,739",2.90%,"2,818",0,0,"2,818",,NH
New Jersey,http://www.state.nj.us/state/elections/2016-results/2016-official-general-results-president-1206b.pdf,Official,65.80%,64.40%,55.70%,"3,957,303","3,874,046","6,013,656","6,959,892",12.00%,"18,504","140,589","15,128","113,768",,NJ
New Mexico,http://electionresults.sos.state.nm.us/,Official,54.90%,54.50%,50.20%,"804,043","798,319","1,464,515","1,591,069",6.90%,"6,914","12,714","2,780","16,941",,NM
New York,http://www.elections.ny.gov/2016ElectionResults.html,Official,57.20%,56.80%,49.60%,"7,786,881","7,721,453","13,604,645","15,557,982",12.00%,"46,416",0,"44,426","90,842",,NY
North Carolina,http://er.ncsbe.gov/?election_dt=11/08/2016&county_id=0&office=FED&contest=0,Official,64.90%,64.50%,60.20%,"4,769,640","4,741,564","7,352,501","7,880,013",5.50%,"34,357","82,466","12,726","94,089",,NC
North Dakota,http://results.sos.nd.gov/resultsSW.aspx?text=Race&type=SW&map=CTY,Official,61.70%,60.80%,59.30%,"349,945","344,360","566,783","581,188",2.20%,"1,791",0,0,"1,791",,ND
Ohio,https://vote.ohio.gov/,Official,64.20%,62.90%,61.00%,"5,607,641","5,496,487","8,736,808","9,007,953",2.40%,"51,666",0,0,"51,666",,OH
Oklahoma,https://www.ok.gov/elections/support/20161108_seb.html,Official,,52.30%,49.00%,,"1,452,992","2,778,219","2,965,905",4.70%,"26,691","33,562","1,895","47,716",,OK
Oregon,http://sos.oregon.gov/elections/Documents/results/november-2016-results.pdf,Official,68.00%,66.20%,61.70%,"2,056,310","2,001,336","3,024,174","3,244,277",6.30%,"15,166",0,0,"15,166",,OR
Pennsylvania,http://www.electionreturns.pa.gov/ENR_New/General/CountyBreakDownResults?officeId=1&districtId=1&ElectionID=undefined&ElectionType=undefined&IsActive=undefined,Official,,63.60%,61.00%,,"6,165,478","9,691,160","10,108,486",3.70%,"48,098",0,0,"48,098",,PA
Rhode Island,http://www.ri.gov/election/results/2016/general_election/,Official,59.70%,59.10%,54.70%,"469,589","464,144","786,012","848,975",7.10%,"3,038",0,0,"3,038",,RI
South Carolina,http://www.enr-scvotes.org/SC/64658/182853/en/summary.html,Official,57.30%,56.70%,54.20%,"2,123,584","2,103,027","3,709,283","3,883,145",3.40%,"20,350","32,634","4,347","43,298",,SC
South Dakota,https://sdsos.gov/elections-voting/assets/2016GeneralElectionOfficialStateCanvass.pdf,Official,60.00%,58.60%,56.60%,"378,995","370,093","631,173","653,841",2.50%,"3,744",0,"2,687","6,431",,SD
Tennessee,http://sos-tn-gov-files.s3.amazonaws.com/PresidentbyCountyNov2016.pdf,Official,51.80%,51.10%,48.60%,"2,545,271","2,508,027","4,909,426","5,164,969",3.50%,"27,906","62,609","12,092","75,685",,TN
Texas,http://elections.sos.state.tx.us/elchist319_state.htm,Official,51.40%,51.40%,43.40%,"8,975,000","8,969,226","17,448,910","20,671,564",13.30%,"155,327","374,285","111,287","479,956",,TX
Utah,https://elections.utah.gov/election-resources/2016-election-information,Official,57.90%,56.80%,52.80%,"1,152,369","1,131,430","1,991,885","2,144,784",6.90%,"5,846",0,0,"5,846",,UT
Vermont,https://vtelectionresults.sec.state.vt.us/Index.html#/state,Official,64.80%,63.70%,62.30%,"320,467","315,067","494,871","506,048",2.20%,0,0,0,0,,VT
Virginia,http://results.elections.virginia.gov/vaelections/2016%20November%20General/Site/Presidential.html,Official,,66.10%,60.80%,,"3,984,631","6,027,152","6,551,390",6.90%,"36,959","60,821","1,650","73,277",,VA
Washington,http://results.vote.wa.gov/results/current/,Final,65.70%,64.70%,58.30%,"3,363,440","3,317,019","5,123,020","5,691,833",8.60%,"18,335","89,317","11,322","80,568",,WA
West Virginia,http://services.sos.wv.gov/apps/elections/results/,Official,,50.20%,49.20%,,"714,423","1,423,031","1,453,201",1.10%,"7,137","6,523","3,550","14,405",,WV
Wisconsin,http://elections.wi.gov/sites/default/files/Statewide%20Results%20All%20Offices%20%28post-Presidential%20recount%29.pdf,Official,,69.50%,66.20%,,"2,976,150","4,285,071","4,495,783",3.20%,"22,889","44,489","20,401","68,649",,WI
Wyoming,http://soswy.state.wy.us/Elections/Docs/2016/2016GeneralResults.aspx,Official,60.20%,59.50%,57.30%,"258,788","255,849","429,682","446,396",2.40%,"2,323","4,666",842,"5,825",,WY
